iter	Passed	Remaining
0	21	8719
1	33	6714
2	42	5611
3	49	4908
4	56	4488
5	63	4185
6	73	4107
7	79	3911
8	87	3781
9	94	3687
10	102	3611
11	109	3538
12	116	3464
13	124	3422
14	130	3338
15	137	3294
16	145	3282
17	153	3260
18	160	3209
19	166	3156
20	174	3144
21	181	3116
22	189	3103
23	195	3068
24	204	3064
25	211	3046
26	219	3033
27	225	3002
28	232	2972
29	240	2965
30	251	2993
31	259	2988
32	267	2974
33	275	2967
34	292	3046
35	302	3058
36	309	3037
37	317	3024
38	325	3010
39	333	3003
40	344	3013
41	360	3071
42	371	3087
43	380	3077
44	389	3069
45	397	3056
46	408	3065
47	426	3128
48	437	3135
49	451	3162
50	464	3179
51	489	3279
52	503	3295
53	510	3271
54	518	3251
55	528	3247
56	536	3228
57	543	3205
58	551	3189
59	560	3177
60	570	3170
61	577	3146
62	584	3128
63	599	3146
64	607	3133
65	618	3127
66	625	3108
67	640	3125
68	646	3103
69	654	3085
70	661	3065
71	669	3051
72	676	3029
73	683	3012
74	690	2994
75	699	2982
76	707	2966
77	715	2951
78	721	2931
79	727	2910
80	735	2895
81	744	2885
82	751	2869
83	758	2854
84	766	2842
85	774	2826
86	782	2814
87	789	2798
88	796	2781
89	803	2768
90	811	2755
91	818	2741
92	825	2725
93	833	2712
94	840	2698
95	848	2687
96	855	2672
97	862	2658
98	870	2645
99	876	2629
100	883	2615
101	890	2600
102	898	2590
103	905	2578
104	916	2575
105	924	2564
106	932	2554
107	939	2540
108	946	2527
109	955	2519
110	963	2509
111	971	2497
112	978	2485
113	987	2476
114	994	2464
115	1001	2452
116	1009	2441
117	1019	2436
118	1027	2425
119	1034	2413
120	1041	2402
121	1050	2393
122	1056	2380
123	1064	2369
124	1072	2359
125	1080	2350
126	1089	2341
127	1103	2344
128	1110	2332
129	1117	2321
130	1125	2312
131	1133	2300
132	1140	2289
133	1148	2279
134	1156	2269
135	1164	2260
136	1170	2247
137	1178	2237
138	1185	2226
139	1192	2214
140	1206	2216
141	1217	2211
142	1224	2200
143	1232	2191
144	1240	2182
145	1252	2178
146	1262	2173
147	1274	2169
148	1283	2162
149	1292	2154
150	1300	2144
151	1308	2134
152	1316	2126
153	1324	2115
154	1333	2107
155	1341	2097
156	1352	2092
157	1364	2089
158	1374	2083
159	1382	2073
160	1391	2065
161	1400	2057
162	1407	2046
163	1416	2037
164	1423	2027
165	1432	2018
166	1439	2008
167	1447	1999
168	1455	1989
169	1462	1978
170	1469	1968
171	1478	1959
172	1486	1950
173	1496	1944
174	1504	1933
175	1511	1924
176	1518	1912
177	1526	1904
178	1534	1895
179	1542	1885
180	1551	1877
181	1559	1868
182	1567	1858
183	1575	1849
184	1583	1840
185	1589	1828
186	1596	1818
187	1603	1807
188	1611	1799
189	1618	1788
190	1626	1779
191	1633	1769
192	1640	1759
193	1648	1750
194	1656	1741
195	1663	1731
196	1671	1722
197	1680	1713
198	1688	1705
199	1696	1696
200	1703	1686
201	1712	1678
202	1718	1668
203	1727	1659
204	1734	1649
205	1742	1641
206	1750	1631
207	1758	1623
208	1766	1614
209	1775	1606
210	1782	1596
211	1791	1588
212	1798	1579
